transaction_id,customer_id,transaction_date,transaction_time,hour_of_day,is_weekend,is_night_transaction,country,city,merchant_category,payment_method,device_type,customer_age,credit_score,account_age_years,account_balance,transaction_amount,num_prev_transactions,transaction_freq_monthly,distance_from_home_km,time_since_last_txn_hrs,is_international,failed_attempts,pin_changed_recently,is_fraud,fraud_type
TXN0000000001,CUST00121959,2023-08-17,21:13:00,21,0,0,USA,London,Grocery,Bank Transfer,POS Terminal,18,695,7.2,369.36,39.49,157,23,52.7,10.2,0,0,0,0,
TXN0000000002,CUST00146868,2024-02-06,05:16:00,5,0,1,UK,New York,Healthcare,Cheque,Desktop,30,600,8.6,2681.99,153.71,153,23,0.9,12.47,0,0,0,0,
TXN0000000003,CUST00131933,2024-06-28,12:15:00,12,0,0,Canada,Delhi,Grocery,Crypto,Mobile,20,711,10.8,44590.64,118.2,161,20,9.2,0.08,0,1,0,0,
TXN0000000004,CUST00103695,2023-03-16,02:53:00,2,0,1,France,Tokyo,Utilities,Debit Card,Mobile,29,711,7.3,1213.37,49.5,160,25,14.8,17.94,1,0,1,1,Synthetic Identity
TXN0000000005,CUST00119880,2024-07-12,12:39:00,12,0,0,Canada,Melbourne,Clothing,Debit Card,Desktop,49,751,11.8,34615.01,30.74,134,18,38.9,2.16,0,0,0,0,
TXN0000000006,CUST00110269,2024-06-26,04:28:00,4,0,1,Canada,Guadalajara,Crypto Exchange,Debit Card,Mobile,22,681,3.7,11181.08,35.36,157,19,23.0,31.46,0,2,0,1,Friendly Fraud
TXN0000000007,CUST00054887,2020-09-05,19:22:00,19,1,0,USA,Mumbai,Education,Debit Card,Mobile,56,733,4.6,11202.02,92.53,178,14,5.0,7.5,1,0,1,0,
TXN0000000008,CUST00137338,2024-09-02,14:02:00,14,0,0,UK,Melbourne,Grocery,Crypto,POS Terminal,47,658,0.9,19545.95,23.12,145,19,6.0,6.4,0,0,0,0,
TXN0000000009,CUST00168267,2021-12-07,03:23:00,3,0,1,USA,Melbourne,Online Shopping,Debit Card,Mobile,48,656,4.5,1061.08,330.47,164,23,27.8,47.27,0,0,0,0,
TXN0000000010,CUST00087499,2020-03-30,21:08:00,21,0,0,Mexico,Mumbai,Crypto Exchange,Credit Card,Mobile,70,836,0.7,7888.36,139.81,154,29,1.2,16.54,0,0,0,0,
